pokedex_number,name,generation,status,species,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate
1,Bulbasaur,1,Normal,Seed Pokémon,Grass,Poison,0.7,6.9,318.0,45.0,49.0,49.0,65.0,65.0,45.0,45.0,70.0,64.0,Medium Slow
2,Ivysaur,1,Normal,Seed Pokémon,Grass,Poison,1.0,13.0,405.0,60.0,62.0,63.0,80.0,80.0,60.0,45.0,70.0,142.0,Medium Slow
3,Venusaur,1,Normal,Seed Pokémon,Grass,Poison,2.0,100.0,525.0,80.0,82.0,83.0,100.0,100.0,80.0,45.0,70.0,236.0,Medium Slow
3,Mega Venusaur,1,Normal,Seed Pokémon,Grass,Poison,2.4,155.5,625.0,80.0,100.0,123.0,122.0,120.0,80.0,45.0,70.0,281.0,Medium Slow
4,Charmander,1,Normal,Lizard Pokémon,Fire,,0.6,8.5,309.0,39.0,52.0,43.0,60.0,50.0,65.0,45.0,70.0,62.0,Medium Slow
5,Charmeleon,1,Normal,Flame Pokémon,Fire,,1.1,19.0,405.0,58.0,64.0,58.0,80.0,65.0,80.0,45.0,70.0,142.0,Medium Slow
6,Charizard,1,Normal,Flame Pokémon,Fire,Flying,1.7,90.5,534.0,78.0,84.0,78.0,109.0,85.0,100.0,45.0,70.0,240.0,Medium Slow
6,Mega Charizard X,1,Normal,Flame Pokémon,Fire,Dragon,1.7,110.5,634.0,78.0,130.0,111.0,130.0,85.0,100.0,45.0,70.0,285.0,Medium Slow
6,Mega Charizard Y,1,Normal,Flame Pokémon,Fire,Flying,1.7,100.5,634.0,78.0,104.0,78.0,159.0,115.0,100.0,45.0,70.0,285.0,Medium Slow
7,Squirtle,1,Normal,Tiny Turtle Pokémon,Water,,0.5,9.0,314.0,44.0,48.0,65.0,50.0,64.0,43.0,45.0,70.0,63.0,Medium Slow
