total_points,hp,attack,defense,sp_attack,sp_defense,speed
318.0,45.0,49.0,49.0,65.0,65.0,45.0
405.0,60.0,62.0,63.0,80.0,80.0,60.0
525.0,80.0,82.0,83.0,100.0,100.0,80.0
625.0,80.0,100.0,123.0,122.0,120.0,80.0
309.0,39.0,52.0,43.0,60.0,50.0,65.0
405.0,58.0,64.0,58.0,80.0,65.0,80.0
534.0,78.0,84.0,78.0,109.0,85.0,100.0
634.0,78.0,130.0,111.0,130.0,85.0,100.0
634.0,78.0,104.0,78.0,159.0,115.0,100.0
314.0,44.0,48.0,65.0,50.0,64.0,43.0
405.0,59.0,63.0,80.0,65.0,80.0,58.0
530.0,79.0,83.0,100.0,85.0,105.0,78.0
630.0,79.0,103.0,120.0,135.0,115.0,78.0
195.0,45.0,30.0,35.0,20.0,20.0,45.0
205.0,50.0,20.0,55.0,25.0,25.0,30.0
395.0,60.0,45.0,50.0,90.0,80.0,70.0
195.0,40.0,35.0,30.0,20.0,20.0,50.0
205.0,45.0,25.0,50.0,25.0,25.0,35.0
395.0,65.0,90.0,40.0,45.0,80.0,75.0
495.0,65.0,150.0,40.0,15.0,80.0,145.0
251.0,40.0,45.0,40.0,35.0,35.0,56.0
349.0,63.0,60.0,55.0,50.0,50.0,71.0
479.0,83.0,80.0,75.0,70.0,70.0,101.0
579.0,83.0,80.0,80.0,135.0,80.0,121.0
253.0,30.0,56.0,35.0,25.0,35.0,72.0
253.0,30.0,56.0,35.0,25.0,35.0,72.0
413.0,55.0,81.0,60.0,50.0,70.0,97.0
413.0,75.0,71.0,70.0,40.0,80.0,77.0
262.0,40.0,60.0,30.0,31.0,31.0,70.0
442.0,65.0,90.0,65.0,61.0,61.0,100.0
288.0,35.0,60.0,44.0,40.0,54.0,55.0
448.0,60.0,95.0,69.0,65.0,79.0,80.0
320.0,35.0,55.0,40.0,50.0,50.0,90.0
430.0,45.0,80.0,50.0,75.0,60.0,120.0
485.0,60.0,90.0,55.0,90.0,80.0,110.0
485.0,60.0,85.0,50.0,95.0,85.0,110.0
300.0,50.0,75.0,85.0,20.0,30.0,40.0
300.0,50.0,75.0,90.0,10.0,35.0,40.0
450.0,75.0,100.0,110.0,45.0,55.0,65.0
450.0,75.0,100.0,120.0,25.0,65.0,65.0
275.0,55.0,47.0,52.0,40.0,40.0,41.0
365.0,70.0,62.0,67.0,55.0,55.0,56.0
505.0,90.0,92.0,87.0,75.0,85.0,76.0
273.0,46.0,57.0,40.0,40.0,40.0,50.0
365.0,61.0,72.0,57.0,55.0,55.0,65.0
505.0,81.0,102.0,77.0,85.0,75.0,85.0
323.0,70.0,45.0,48.0,60.0,65.0,35.0
483.0,95.0,70.0,73.0,95.0,90.0,60.0
299.0,38.0,41.0,40.0,50.0,65.0,65.0
299.0,38.0,41.0,40.0,50.0,65.0,65.0
505.0,73.0,76.0,75.0,81.0,100.0,100.0
505.0,73.0,67.0,75.0,81.0,100.0,109.0
270.0,115.0,45.0,20.0,45.0,25.0,20.0
435.0,140.0,70.0,45.0,85.0,50.0,45.0
245.0,40.0,45.0,35.0,30.0,40.0,55.0
455.0,75.0,80.0,70.0,65.0,75.0,90.0
320.0,45.0,50.0,55.0,75.0,65.0,30.0
395.0,60.0,65.0,70.0,85.0,75.0,40.0
490.0,75.0,80.0,85.0,110.0,90.0,50.0
285.0,35.0,70.0,55.0,45.0,55.0,25.0
405.0,60.0,95.0,80.0,60.0,80.0,30.0
305.0,60.0,55.0,50.0,40.0,55.0,45.0
450.0,70.0,65.0,60.0,90.0,75.0,90.0
265.0,10.0,55.0,25.0,35.0,45.0,95.0
265.0,10.0,55.0,30.0,35.0,45.0,90.0
425.0,35.0,100.0,50.0,50.0,70.0,120.0
425.0,35.0,100.0,60.0,50.0,70.0,110.0
290.0,40.0,45.0,35.0,40.0,40.0,90.0
290.0,40.0,35.0,35.0,50.0,40.0,90.0
290.0,50.0,65.0,55.0,40.0,40.0,40.0
440.0,65.0,70.0,60.0,65.0,65.0,115.0
440.0,65.0,60.0,60.0,75.0,65.0,115.0
320.0,50.0,52.0,48.0,65.0,50.0,55.0
500.0,80.0,82.0,78.0,95.0,80.0,85.0
305.0,40.0,80.0,35.0,35.0,45.0,70.0
455.0,65.0,105.0,60.0,60.0,70.0,95.0
350.0,55.0,70.0,45.0,70.0,50.0,60.0
555.0,90.0,110.0,80.0,100.0,80.0,95.0
300.0,40.0,50.0,40.0,40.0,40.0,90.0
385.0,65.0,65.0,65.0,50.0,50.0,90.0
510.0,90.0,95.0,95.0,70.0,90.0,70.0
310.0,25.0,20.0,15.0,105.0,55.0,90.0
400.0,40.0,35.0,30.0,120.0,70.0,105.0
500.0,55.0,50.0,45.0,135.0,95.0,120.0
600.0,55.0,50.0,65.0,175.0,105.0,150.0
305.0,70.0,80.0,50.0,35.0,35.0,35.0
405.0,80.0,100.0,70.0,50.0,60.0,45.0
505.0,90.0,130.0,80.0,65.0,85.0,55.0
300.0,50.0,75.0,35.0,70.0,30.0,40.0
390.0,65.0,90.0,50.0,85.0,45.0,55.0
490.0,80.0,105.0,65.0,100.0,70.0,70.0
335.0,40.0,40.0,35.0,50.0,100.0,70.0
515.0,80.0,70.0,65.0,80.0,120.0,100.0
300.0,40.0,80.0,100.0,30.0,30.0,20.0
300.0,40.0,80.0,100.0,30.0,30.0,20.0
390.0,55.0,95.0,115.0,45.0,45.0,35.0
