total_points,hp,attack,defense,sp_attack,sp_defense,speed,status_Mythical,status_Normal,status_Sub Legendary,growth_rate_Fast,growth_rate_Fluctuating,growth_rate_Medium Fast,growth_rate_Medium Slow,growth_rate_Slow
318.0,45.0,49.0,49.0,65.0,65.0,45.0,0,1,0,0,0,0,1,0
405.0,60.0,62.0,63.0,80.0,80.0,60.0,0,1,0,0,0,0,1,0
525.0,80.0,82.0,83.0,100.0,100.0,80.0,0,1,0,0,0,0,1,0
625.0,80.0,100.0,123.0,122.0,120.0,80.0,0,1,0,0,0,0,1,0
309.0,39.0,52.0,43.0,60.0,50.0,65.0,0,1,0,0,0,0,1,0
405.0,58.0,64.0,58.0,80.0,65.0,80.0,0,1,0,0,0,0,1,0
534.0,78.0,84.0,78.0,109.0,85.0,100.0,0,1,0,0,0,0,1,0
634.0,78.0,130.0,111.0,130.0,85.0,100.0,0,1,0,0,0,0,1,0
634.0,78.0,104.0,78.0,159.0,115.0,100.0,0,1,0,0,0,0,1,0
314.0,44.0,48.0,65.0,50.0,64.0,43.0,0,1,0,0,0,0,1,0
405.0,59.0,63.0,80.0,65.0,80.0,58.0,0,1,0,0,0,0,1,0
530.0,79.0,83.0,100.0,85.0,105.0,78.0,0,1,0,0,0,0,1,0
630.0,79.0,103.0,120.0,135.0,115.0,78.0,0,1,0,0,0,0,1,0
195.0,45.0,30.0,35.0,20.0,20.0,45.0,0,1,0,0,0,1,0,0
205.0,50.0,20.0,55.0,25.0,25.0,30.0,0,1,0,0,0,1,0,0
395.0,60.0,45.0,50.0,90.0,80.0,70.0,0,1,0,0,0,1,0,0
195.0,40.0,35.0,30.0,20.0,20.0,50.0,0,1,0,0,0,1,0,0
205.0,45.0,25.0,50.0,25.0,25.0,35.0,0,1,0,0,0,1,0,0
395.0,65.0,90.0,40.0,45.0,80.0,75.0,0,1,0,0,0,1,0,0
495.0,65.0,150.0,40.0,15.0,80.0,145.0,0,1,0,0,0,1,0,0
251.0,40.0,45.0,40.0,35.0,35.0,56.0,0,1,0,0,0,0,1,0
349.0,63.0,60.0,55.0,50.0,50.0,71.0,0,1,0,0,0,0,1,0
479.0,83.0,80.0,75.0,70.0,70.0,101.0,0,1,0,0,0,0,1,0
579.0,83.0,80.0,80.0,135.0,80.0,121.0,0,1,0,0,0,0,1,0
253.0,30.0,56.0,35.0,25.0,35.0,72.0,0,1,0,0,0,1,0,0
253.0,30.0,56.0,35.0,25.0,35.0,72.0,0,1,0,0,0,1,0,0
413.0,55.0,81.0,60.0,50.0,70.0,97.0,0,1,0,0,0,1,0,0
413.0,75.0,71.0,70.0,40.0,80.0,77.0,0,1,0,0,0,1,0,0
262.0,40.0,60.0,30.0,31.0,31.0,70.0,0,1,0,0,0,1,0,0
442.0,65.0,90.0,65.0,61.0,61.0,100.0,0,1,0,0,0,1,0,0
288.0,35.0,60.0,44.0,40.0,54.0,55.0,0,1,0,0,0,1,0,0
448.0,60.0,95.0,69.0,65.0,79.0,80.0,0,1,0,0,0,1,0,0
320.0,35.0,55.0,40.0,50.0,50.0,90.0,0,1,0,0,0,1,0,0
